Ridge, X, Y
1 , 49.386 , 0.07252
1 , 49.4585 , 0.07252
1 , 49.4585 , 0.145
1 , 49.386 , 0.145
1 , 49.386 , 0.07252
1 , 49.3135 , 0.07252
1 , 49.3135 , 0
1 , 49.386 , 0
2 , 46.1226 , 0.145
2 , 46.0501 , 0.145
2 , 46.0501 , 0.2176
2 , 45.9776 , 0.2176
2 , 45.9776 , 0.2901
2 , 45.8326 , 0.2901
2 , 45.8326 , 0.3626
2 , 45.6875 , 0.3626
2 , 45.6875 , 0.5076
2 , 45.615 , 0.5076
2 , 45.615 , 0.5802
2 , 45.5425 , 0.5802
2 , 45.5425 , 0.6527
2 , 45.47 , 0.6527
2 , 45.47 , 0.7252
2 , 44.9623 , 0.7252
2 , 44.9623 , 0.7977
2 , 44.8898 , 0.7977
2 , 44.8898 , 0.8702
2 , 44.8173 , 0.8702
2 , 44.8173 , 0.9428
2 , 44.7448 , 0.9428
2 , 44.7448 , 1.0153
2 , 44.6722 , 1.0153
2 , 44.6722 , 1.0878
2 , 44.5997 , 1.0878
2 , 44.5997 , 1.1603
2 , 44.5272 , 1.1603
2 , 44.5272 , 1.3054
2 , 44.4547 , 1.3054
2 , 44.4547 , 1.3779
2 , 44.3096 , 1.3779
2 , 44.3096 , 1.3054
2 , 44.4547 , 1.3054
2 , 44.4547 , 1.1603
2 , 44.5272 , 1.1603
2 , 44.5272 , 1.0878
2 , 44.5997 , 1.0878
2 , 44.5997 , 1.0153
2 , 44.6722 , 1.0153
2 , 44.6722 , 0.9428
2 , 44.7448 , 0.9428
2 , 44.7448 , 0.8702
2 , 44.8173 , 0.8702
2 , 44.8173 , 0.7977
2 , 44.8898 , 0.7977
2 , 44.8898 , 0.7252
2 , 44.9623 , 0.7252
2 , 44.9623 , 0.6527
2 , 45.47 , 0.6527
2 , 45.47 , 0.5802
2 , 45.5425 , 0.5802
2 , 45.5425 , 0.5076
2 , 45.615 , 0.5076
2 , 45.615 , 0.2901
2 , 45.5425 , 0.2901
2 , 45.5425 , 0.2176
2 , 45.3974 , 0.2176
2 , 45.3974 , 0.145
2 , 45.5425 , 0.145
2 , 45.5425 , 0.2176
2 , 45.615 , 0.2176
2 , 45.615 , 0.2901
2 , 45.8326 , 0.2901
2 , 45.8326 , 0.2176
2 , 45.9776 , 0.2176
2 , 45.9776 , 0.145
2 , 46.0501 , 0.145
2 , 46.0501 , 0.07252
2 , 46.1226 , 0.07252
3 , 47.8631 , 0.6527
3 , 48.0081 , 0.6527
3 , 48.0081 , 0.7252
3 , 48.2257 , 0.7252
3 , 48.2257 , 0.7977
3 , 48.5158 , 0.7977
3 , 48.5158 , 0.8702
3 , 48.5883 , 0.8702
3 , 48.5883 , 1.0153
3 , 48.6608 , 1.0153
3 , 48.6608 , 1.1603
3 , 48.5883 , 1.1603
3 , 48.5883 , 1.0153
3 , 48.5158 , 1.0153
3 , 48.5158 , 0.8702
3 , 48.2257 , 0.8702
3 , 48.2257 , 0.7977
3 , 48.0081 , 0.7977
3 , 48.0081 , 0.7252
3 , 47.8631 , 0.7252
3 , 47.8631 , 0.6527
3 , 47.3555 , 0.6527
3 , 47.3555 , 0.7252
3 , 47.283 , 0.7252
3 , 47.283 , 0.7977
3 , 47.0654 , 0.7977
3 , 47.0654 , 0.7252
3 , 47.283 , 0.7252
3 , 47.283 , 0.6527
3 , 47.3555 , 0.6527
3 , 47.3555 , 0.5802
3 , 47.8631 , 0.5802
4 , 49.1685 , 1.0153
4 , 49.3135 , 1.0153
4 , 49.3135 , 1.0878
4 , 49.386 , 1.0878
4 , 49.386 , 1.1603
4 , 49.5311 , 1.1603
4 , 49.5311 , 1.2328
4 , 49.6036 , 1.2328
4 , 49.6036 , 1.3054
4 , 49.6761 , 1.3054
4 , 49.6761 , 1.3779
4 , 49.7486 , 1.3779
4 , 49.7486 , 1.4504
4 , 49.8211 , 1.4504
4 , 49.8211 , 1.5229
4 , 49.7486 , 1.5229
4 , 49.7486 , 1.4504
4 , 49.6761 , 1.4504
4 , 49.6761 , 1.3779
4 , 49.6036 , 1.3779
4 , 49.6036 , 1.3054
4 , 49.5311 , 1.3054
4 , 49.5311 , 1.2328
4 , 49.386 , 1.2328
4 , 49.386 , 1.1603
4 , 49.3135 , 1.1603
4 , 49.3135 , 1.0878
4 , 49.1685 , 1.0878
4 , 49.1685 , 1.0153
4 , 49.0234 , 1.0153
4 , 49.0234 , 0.9428
4 , 49.1685 , 0.9428
5 , 46.6303 , 1.0878
5 , 46.7028 , 1.0878
5 , 46.7028 , 1.1603
5 , 46.9929 , 1.1603
5 , 46.9929 , 1.2328
5 , 47.0654 , 1.2328
5 , 47.0654 , 1.3054
5 , 47.1379 , 1.3054
5 , 47.1379 , 1.3779
5 , 47.2104 , 1.3779
5 , 47.2104 , 1.668
5 , 47.1379 , 1.668
5 , 47.1379 , 1.7405
5 , 46.9929 , 1.7405
5 , 46.9929 , 1.813
5 , 46.8478 , 1.813
5 , 46.8478 , 1.958
5 , 46.7753 , 1.958
5 , 46.7753 , 2.1756
5 , 46.7028 , 2.1756
5 , 46.7028 , 2.3206
5 , 46.6303 , 2.3206
5 , 46.6303 , 2.4657
5 , 46.5578 , 2.4657
5 , 46.5578 , 2.3206
5 , 46.6303 , 2.3206
5 , 46.6303 , 2.1756
5 , 46.7028 , 2.1756
5 , 46.7028 , 1.958
5 , 46.7753 , 1.958
5 , 46.7753 , 1.7405
5 , 46.7028 , 1.7405
5 , 46.7028 , 1.668
5 , 46.7753 , 1.668
5 , 46.7753 , 1.7405
5 , 46.9929 , 1.7405
5 , 46.9929 , 1.668
5 , 47.1379 , 1.668
