"Cell","Ridge","X","Y"
"Curved_test",1,27.4125,9.6814
"Curved_test",1,27.19495,9.60885
"Curved_test",1,26.9411,9.53635
"Curved_test",2,27.9564,10.55165
"Curved_test",2,27.88385,10.47915
"Curved_test",2,27.6663,10.4066
"Curved_test",3,25.85335,10.55165
"Curved_test",3,25.92585,10.6967
"Curved_test",3,25.99835,10.91425
"Curved_test",4,26.72355,10.62415
"Curved_test",4,26.79605,10.73295
"Curved_test",4,26.8686,10.878
"Curved_test",4,26.94115,11.0593
"Curved_test",4,26.8686,11.3494
"Curved_test",4,26.79605,11.6757
"Curved_test",4,26.8686,11.857
"Curved_test",4,26.94115,11.92955
"Curved_test",4,27.2312,12.00205
"Curved_test",4,27.70255,12.07455
"Curved_test",4,27.9564,12.14705
"Curved_test",4,28.0652,12.2196
"Curved_test",4,28.4278,12.29215
"Curved_test",4,28.75415,12.36465
"Curved_test",5,28.319,11.60315
"Curved_test",5,28.39155,11.42185
"Curved_test",5,28.46405,11.34935
"Curved_test",5,28.5728,11.27685
"Curved_test",5,28.6816,11.20435
"Curved_test",5,28.75415,11.1318
"Curved_test",5,28.8629,11.05925
"Curved_test",5,29.08045,10.98675
"Curved_test",5,29.44305,10.91425
"Curved_test",5,29.73315,10.98675
"Curved_test",5,29.8782,11.05925
"Curved_test",5,29.98695,11.16805
"Curved_test",5,30.05945,11.3131
"Curved_test",5,30.132,11.42185
"Curved_test",5,30.20455,11.4944
"Curved_test",6,23.09755,12.2196
"Curved_test",6,23.1701,11.9658
"Curved_test",6,23.24265,11.857
"Curved_test",6,23.31515,11.78445
"Curved_test",6,23.38765,11.71195
"Curved_test",6,23.46015,11.63945
"Curved_test",6,23.5327,11.56695
"Curved_test",6,23.60525,11.4944
"Curved_test",6,23.67775,11.42185
"Curved_test",6,23.75025,11.34935
"Curved_test",6,23.85905,11.27685
"Curved_test",6,24.0041,11.20435
"Curved_test",6,24.11285,11.09555
"Curved_test",6,24.18535,10.98675
"Curved_test",7,25.1644,11.63945
"Curved_test",7,25.27315,11.71195
"Curved_test",8,34.41065,19.4353
"Curved_test",8,34.33815,19.32655
"Curved_test",8,34.26565,19.21775
"Curved_test",8,34.19315,19.0002
